kunci,nama,nama_swf,nama_kelas,berkas_swf,level,min_level,max_level,gold,xp,tipe,stat_lengkap,jumlah_skill,hp_dasar,random_battle
enemy1,Training Dummy,ene_01,Ene_01,cdn/swf/latest/swf/enemies/ene_01.swf,1,1,99,2,1,1,tidak,0,,False
enemy2,Undead Marionette,ene_02,Ene_02,cdn/swf/latest/swf/enemies/ene_02.swf,1,1,99,2,1,1,tidak,0,,False
enemy3,Ninja Spy,ene_03,Ene_03,cdn/swf/latest/swf/enemies/ene_03.swf,1,1,99,2,1,1,tidak,0,,False
enemy4,Ninja Thief,ene_04,Ene_04,cdn/swf/latest/swf/enemies/ene_04.swf,1,1,99,2,1,1,tidak,0,,False
enemy5,Ninja Thief,ene_05,Ene_05,cdn/swf/latest/swf/enemies/ene_05.swf,1,1,99,2,1,1,tidak,0,,False
enemy7,Samurai,ene_07,Ene_07,cdn/swf/latest/swf/enemies/ene_07.swf,1,1,99,2,1,1,tidak,0,,False
enemy8,Ninja Ops,ene_08,Ene_08,cdn/swf/latest/swf/enemies/ene_08.swf,1,1,99,2,1,1,tidak,0,,False
enemy28,Fierce Cat,ene_28,Ene_28,cdn/swf/latest/swf/enemies/ene_28.swf,1,1,99,2,1,1,tidak,0,,False
enemy29,Water Village Genin,ene_29,Ene_29,cdn/swf/latest/swf/enemies/ene_29.swf,1,1,99,2,1,1,tidak,0,,False
enemy31,Toxic Village Genin,ene_31,Ene_31,cdn/swf/latest/swf/enemies/ene_31.swf,1,1,99,2,1,1,tidak,0,,False
enemy34,Lightning Village Genin,ene_34,Ene_34,cdn/swf/latest/swf/enemies/ene_34.swf,1,1,99,2,1,1,tidak,0,,False
enemy37,Boneco de Protecção,ene_37,Ene_37,cdn/swf/latest/swf/enemies/ene_37.swf,1,1,99,2,1,1,tidak,0,,False
enemy38,Ninja Spy Captain,ene_38,Ene_38,cdn/swf/latest/swf/enemies/ene_38.swf,1,1,99,2,1,1,tidak,0,,False
enemy41,Red Bandit Ninja,ene_41,Ene_41,cdn/swf/latest/swf/enemies/ene_41.swf,1,1,99,2,1,1,tidak,0,,False
enemy47,Crazy Hooligan,ene_47,Ene_47,cdn/swf/latest/swf/enemies/ene_47.swf,1,1,99,2,1,1,tidak,0,,False
enemy60,Iron Arm Hooligan,ene_60,Ene_60,cdn/swf/latest/swf/enemies/ene_60.swf,1,1,99,2,1,1,tidak,0,,False
enemy62,Wind Village Genin,ene_62,Ene_62,cdn/swf/latest/swf/enemies/ene_62.swf,1,1,99,2,1,1,tidak,0,,False
enemy69,Battle Dog,ene_69,Ene_69,cdn/swf/latest/swf/enemies/ene_69.swf,1,1,99,2,1,1,tidak,0,,False
enemy70,Reindeer,ene_70,Ene_70,cdn/swf/latest/swf/enemies/ene_70.swf,1,1,99,2,1,1,tidak,0,,False
enemy72,Wind Village Genin,ene_72,Ene_72,cdn/swf/latest/swf/enemies/ene_72.swf,1,1,99,2,1,1,tidak,0,,False
enemy83,Ginkotsu,ene_83,Ene_83,cdn/swf/latest/swf/enemies/ene_83.swf,5,5,99,400,550,2,tidak,0,,False
enemy88,Byakko,ene_88,Ene_88,cdn/swf/latest/swf/enemies/ene_88.swf,10,10,99,400,550,2,tidak,0,,False
enemy89,Aka Tengu,ene_89,Ene_89,cdn/swf/latest/swf/enemies/ene_89.swf,5,5,99,400,550,2,tidak,0,,False
enemy90,Ao Tengu,ene_90,Ene_90,cdn/swf/latest/swf/enemies/ene_90.swf,5,5,99,400,550,2,tidak,0,,False
enemy91,Shikigami YanKi,ene_91,Ene_91,cdn/swf/latest/swf/enemies/ene_91.swf,5,5,99,400,550,2,tidak,0,,False
enemy94,Gedo Sessho Seki,ene_94,Ene_94,cdn/swf/latest/swf/enemies/ene_94.swf,5,5,99,400,550,2,tidak,0,,False
enemy106,Ape King,ene_106,Ene_106,cdn/swf/latest/swf/enemies/ene_106.swf,20,20,99,400,550,2,tidak,0,,False
enemy120,Battle Turtle,ene_120,Ene_120,cdn/swf/latest/swf/enemies/ene_120.swf,30,30,99,400,550,2,tidak,0,,False
enemy155,Soul General Mutoh,ene_155,Ene_155,cdn/swf/latest/swf/enemies/ene_155.swf,40,40,99,400,550,2,tidak,0,,False
enemy179,Clone of Shin,ene_179,Ene_179,cdn/swf/latest/swf/enemies/ene_179.swf,1,1,1,2,1,1,tidak,0,,False
enemy195,Yosuzume,ene_195,Ene_195,cdn/swf/latest/swf/enemies/ene_195.swf,5,5,99,400,550,2,tidak,0,,False
enemy196,Kari Mori,ene_196,Ene_196,cdn/swf/latest/swf/enemies/ene_196.swf,5,5,99,400,550,2,tidak,0,,False
enemy197,Soft Claw,ene_197,Ene_197,cdn/swf/latest/swf/enemies/ene_197.swf,5,5,99,400,550,2,tidak,0,,False
enemy198,Shi To,ene_198,Ene_198,cdn/swf/latest/swf/enemies/ene_198.swf,5,5,99,400,550,2,tidak,0,,False
enemy200,"""Hachibi's Father""",ene_200,Ene_200,cdn/swf/latest/swf/enemies/ene_200.swf,1,1,99,400,550,2,tidak,0,,False
enemy201,"""Nanabi's Father""",ene_201,Ene_201,cdn/swf/latest/swf/enemies/ene_201.swf,1,1,99,400,550,2,tidak,0,,False
enemy202,"""Rokubi's Father""",ene_202,Ene_202,cdn/swf/latest/swf/enemies/ene_202.swf,1,1,99,400,550,2,tidak,0,,False
enemy203,"""Gobi's Father""",ene_203,Ene_203,cdn/swf/latest/swf/enemies/ene_203.swf,1,1,99,400,550,2,tidak,0,,False
enemy204,Fire Village Ninja,ene_204,Ene_204,cdn/swf/latest/swf/enemies/ene_204.swf,1,1,99,400,550,2,tidak,0,,False
enemy205,Wind Village Ninja,ene_205,Ene_205,cdn/swf/latest/swf/enemies/ene_205.swf,1,1,99,400,550,2,tidak,0,,False
enemy206,Lightning Village Ninja,ene_206,Ene_206,cdn/swf/latest/swf/enemies/ene_206.swf,1,1,99,400,550,2,tidak,0,,False
enemy207,Earth Village Ninja,ene_207,Ene_207,cdn/swf/latest/swf/enemies/ene_207.swf,1,1,99,400,550,2,tidak,0,,False
enemy208,Water Village Ninja,ene_208,Ene_208,cdn/swf/latest/swf/enemies/ene_208.swf,1,1,99,400,550,2,tidak,0,,False
enemy210,"""Kyubi's Father""",ene_210,Ene_210,cdn/swf/latest/swf/enemies/ene_210.swf,1,1,99,400,550,2,tidak,0,,False
enemy211,Fire Village Ninja,ene_204,Ene_204,cdn/swf/latest/swf/enemies/ene_204.swf,1,1,99,400,550,2,tidak,0,,False
enemy212,Wind Village Ninja,ene_205,Ene_205,cdn/swf/latest/swf/enemies/ene_205.swf,1,1,99,400,550,2,tidak,0,,False
enemy213,Lightning Village Ninja,ene_206,Ene_206,cdn/swf/latest/swf/enemies/ene_206.swf,1,1,99,400,550,2,tidak,0,,False
enemy214,Earth Village Ninja,ene_207,Ene_207,cdn/swf/latest/swf/enemies/ene_207.swf,1,1,99,400,550,2,tidak,0,,False
enemy215,Water Village Ninja,ene_208,Ene_208,cdn/swf/latest/swf/enemies/ene_208.swf,1,1,99,400,550,2,tidak,0,,False
enemy216,Random Player Character,ene_216,Ene_216,cdn/swf/latest/swf/enemies/ene_216.swf,1,1,99,400,550,2,tidak,0,,False
enemy217,Random Player Character,ene_217,Ene_217,cdn/swf/latest/swf/enemies/ene_217.swf,1,1,99,400,550,2,tidak,0,,False
enemy218,Random Player Character,ene_218,Ene_218,cdn/swf/latest/swf/enemies/ene_218.swf,1,1,99,400,550,2,tidak,0,,False
enemy251,SNF of Lava,ene_251,Ene_251,cdn/swf/latest/swf/enemies/ene_251.swf,1,1,99,400,550,2,tidak,0,,False
enemy252,SNF of Gaia,ene_252,Ene_252,cdn/swf/latest/swf/enemies/ene_252.swf,1,1,99,400,550,2,tidak,0,,False
enemy253,SNF of Hurricane,ene_253,Ene_253,cdn/swf/latest/swf/enemies/ene_253.swf,1,1,99,400,550,2,tidak,0,,False
enemy254,SNF of Tsunami,ene_254,Ene_254,cdn/swf/latest/swf/enemies/ene_254.swf,1,1,99,400,550,2,tidak,0,,False
enemy255,SNF of  Lightning,ene_255,Ene_255,cdn/swf/latest/swf/enemies/ene_255.swf,1,1,99,400,550,2,tidak,0,,False
enemy256,"""Kyunoki's Head""",ene_256,Ene_256,cdn/swf/latest/swf/enemies/ene_256.swf,1,1,99,1200,1500,2,tidak,0,,False
enemy257,"""Kyunoki's Left Hand""",ene_257,Ene_257,cdn/swf/latest/swf/enemies/ene_257.swf,1,1,99,1200,1500,2,tidak,0,,False
enemy258,"""Kyunoki's Right Hand""",ene_258,Ene_258,cdn/swf/latest/swf/enemies/ene_258.swf,1,1,99,1200,1500,2,tidak,0,,False
enemy259,Riot Mad Bull,ene_259,Ene_259,cdn/swf/latest/swf/enemies/ene_259.swf,1,1,99,400,550,2,tidak,0,,False
enemy260,Lightning Viper,ene_260,Ene_260,cdn/swf/latest/swf/enemies/ene_260.swf,1,1,99,400,550,2,tidak,0,,False
enemy261,Metal Head Ostrich,ene_261,Ene_261,cdn/swf/latest/swf/enemies/ene_261.swf,1,1,99,400,550,2,tidak,0,,False
enemy262,Hellgate Wolf,ene_262,Ene_262,cdn/swf/latest/swf/enemies/ene_262.swf,1,1,99,400,550,2,tidak,0,,False
enemy263,Evil Toad,ene_263,Ene_263,cdn/swf/latest/swf/enemies/ene_263.swf,1,1,99,400,550,2,tidak,0,,False
enemy264,Wild Rainbow Bird,ene_264,Ene_264,cdn/swf/latest/swf/enemies/ene_264.swf,6,6,99,400,550,1,tidak,0,,False
enemy265,Vortex Beast,ene_265,Ene_265,cdn/swf/latest/swf/enemies/ene_265.swf,6,6,99,400,550,2,tidak,0,,False
enemy266,Snow Reindeer,ene_266,Ene_266,cdn/swf/latest/swf/enemies/ene_266.swf,6,6,99,500,550,2,tidak,0,,False
enemy267,Lightning Howl Lion,ene_267,Ene_267,cdn/swf/latest/swf/enemies/ene_267.swf,6,6,99,500,650,2,tidak,0,,False
enemy268,"""Tootetsu's Head""",ene_268,Ene_268,cdn/swf/latest/swf/enemies/ene_268.swf,40,40,99,600,800,2,tidak,0,,False
enemy269,"""Tootetsu's Left Hand""",ene_269,Ene_269,cdn/swf/latest/swf/enemies/ene_269.swf,40,40,99,600,800,2,tidak,0,,False
enemy270,"""Tootetsu's Right Hand""",ene_270,Ene_270,cdn/swf/latest/swf/enemies/ene_270.swf,40,40,99,600,800,2,tidak,0,,False
enemy271,Kyotaro,ene_271,Ene_271,cdn/swf/latest/swf/enemies/ene_271.swf,1,1,99,1200,1500,2,tidak,0,,False
enemy272,Mudo,ene_272,Ene_272,cdn/swf/latest/swf/enemies/ene_272.swf,1,1,99,1200,1500,2,tidak,0,,False
enemy273,Izo,ene_273,Ene_273,cdn/swf/latest/swf/enemies/ene_273.swf,1,1,99,1200,1500,2,tidak,0,,False
